Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",158,704,58,122,144,10,0.188920454,0.242897727,0.379248659,0.367469879,0.322003577,0.458036984,0.701252236,0.4757340011100992,0.4809395285213695,219.7835722854021,-0.495271660387516,95.99322220590903,-9.57552433013916,11.334959280427839,"Aaron Judge",15640,592450
"Bobby Witt Jr.","KCR",161,709,32,125,109,31,0.080394922,0.149506346,0.256289308,0.35375494,0.331761006,0.389280677,0.588050314,0.40973835374627793,0.40694056919642857,169.13393177564416,4.4858090952038765,60.57034097208533,17.496928215026855,10.489661984608478,"Bobby Witt Jr.",25764,677951
"Shohei Ohtani","LAD",159,731,54,134,130,59,0.110807113,0.221614227,0.336477988,0.336470588,0.309748427,0.39010989,0.646226415,0.43054929176412915,0.44389798050139273,179.6782932394558,9.73534832149744,79.38495752480254,-17.17592430114746,8.94855915206399,"Shohei Ohtani",19755,660271
"Juan Soto","NYY",157,713,41,128,109,7,0.180925666,0.16690042,0.28125,0.297619047,0.288194444,0.419354838,0.569444444,0.4205848819428188,0.4636422871534512,180.99055562627643,-3.8687386885285378,62.20509648624051,-5.565011024475098,8.290403914187088,"Juan Soto",20123,665742
"Gunnar Henderson","BAL",159,719,37,118,92,21,0.108484005,0.221140472,0.247619048,0.319634703,0.28095238,0.364394993,0.528571428,0.38146476194387025,0.37391566563319495,153.79507079266284,3.9880658090114594,48.24455726015132,4.381449222564697,7.896378175117105,"Gunnar Henderson",26289,683002
"Francisco Lindor","NYM",152,689,33,107,91,29,0.081277213,0.184325108,0.226537217,0.295010845,0.273462783,0.343976777,0.5,0.36288581496572286,0.38103285501169604,136.87564878805517,4.003861710429192,34.386128730566824,17.448684215545654,7.732129732801081,"Francisco Lindor",12916,596019
"Jarren Duran","BOS",160,735,21,111,75,34,0.073469387,0.217687074,0.207153502,0.344827586,0.284649776,0.341961852,0.491803278,0.3568673902286514,0.33954088805151766,130.74070663303564,8.320960067212582,34.17371282348279,7.7204811573028564,6.842792210282063,"Jarren Duran",24617,680776
"Elly De La Cruz","CIN",160,696,25,105,76,67,0.099137931,0.31321839,0.21197411,0.359042553,0.258899676,0.338616714,0.470873786,0.34864824028373453,0.3298914370329484,119.26510609565474,7.458791613578796,23.492793452431314,16.667002201080322,6.550527704390292,"Elly De La Cruz",26668,682829
"José Ramírez","CLE",158,682,39,114,118,41,0.079178885,0.120234604,0.258064516,0.265346534,0.279032258,0.334801762,0.537096774,0.3642762730118049,0.3333672949729657,141.43936858837043,6.2889870554208755,38.62623908652469,1.243952989578247,6.452328074502275,"Jose Ramirez",13510,608070
"Ketel Marte","ARI",136,583,36,93,95,7,0.111492281,0.181818181,0.267857143,0.299191374,0.291666666,0.372212692,0.559523809,0.3909995480337077,0.39414922007313974,151.5932209536712,0.9326784834265709,36.90119123990885,4.792233824729919,6.318788996285611,"Ketel Marte",13613,606466
"William Contreras","MIL",155,679,23,99,92,9,0.114874815,0.204712812,0.18487395,0.330275229,0.280672268,0.365243004,0.465546218,0.3587271837346278,0.3591032848867535,131.57793467399807,-2.575035162270069,23.064773541523095,7.381562352180481,5.488651739986147,"William Contreras",20503,661388
"Matt Chapman","SFG",154,647,27,98,78,15,0.098918083,0.244204018,0.215652174,0.293367346,0.246956521,0.327666151,0.462608695,0.34013576694527026,0.3417041044280003,120.6726386704186,3.6806269511580467,19.674788521525187,11.447599172592163,5.447993975769762,"Matt Chapman",16505,656305
"Cal Raleigh","SEA",153,628,34,73,100,6,0.111464968,0.280254777,0.216117216,0.251461988,0.219780219,0.31210191,0.435897435,0.32256641812049425,0.34666320408902235,117.55250684811342,-2.577874943614006,10.03471865745432,21.550546884536743,5.411826653833569,"Cal Raleigh",21534,663728
"Jackson Merrill","SDP",156,593,24,77,90,16,0.048903878,0.170320404,0.207581228,0.31797235,0.292418772,0.32597623,0.5,0.351507786788097,0.3753677679567921,129.64684290775756,3.721755400300026,24.74474279421471,7.192627429962158,5.3457304461491475,"Jackson Merrill",29490,701538
"Vladimir Guerrero Jr.","TOR",159,697,30,98,103,2,0.103299856,0.137733142,0.22077922,0.342105263,0.323051948,0.395982783,0.543831168,0.39789022276871394,0.4129388982599432,164.49173188476283,-5.594869069755077,45.83819826287797,-17.428866386413574,5.320024514642186,"Vladimir Guerrero Jr.",19611,665489
"Yordan Alvarez","HOU",147,635,35,88,86,6,0.108661417,0.149606299,0.259057971,0.316901408,0.307971014,0.392125984,0.567028985,0.40158736975397163,0.41476764400735666,167.06348230854238,-2.903316155076027,45.82320807732856,-16.452189445495605,5.207106688521867,"Yordan Alvarez",19556,670541
"Brent Rooker","OAK",145,614,39,82,112,11,0.096091205,0.288273615,0.269230769,0.362275449,0.293040293,0.364820846,0.562271062,0.39218441668103954,0.3811160639712685,163.63141597278016,0.7568249627947807,45.4607407277596,-16.319454431533813,5.111493169542987,"Brent Rooker",19627,667670
"Bryce Harper","PHI",145,631,30,85,87,7,0.12044374,0.218700475,0.24,0.330729166,0.285454545,0.373015873,0.525454545,0.38021706340771305,0.35910433102277367,143.72135955460536,-0.4898614436388016,32.50028944371691,-4.232383728027344,5.0979501282669775,"Bryce Harper",11579,547180
"Willy Adames","MIL",161,688,32,93,112,21,0.107558139,0.251453488,0.211475409,0.296568627,0.250819672,0.331395348,0.462295081,0.34193181539103934,0.341207106096031,120.27350052093948,1.2317712530493736,17.911096026327197,5.976341724395752,4.842335810348562,"Willy Adames",15986,642715
"Marcell Ozuna","ATL",162,688,39,96,104,1,0.107558139,0.247093023,0.244224422,0.359102244,0.301980198,0.378457059,0.54620462,0.39450213334856243,0.40405732985825565,154.4543814593856,-4.604921892285347,40.19554622376367,-17.5,4.719239959530004,"Marcell Ozuna",10324,542303
"Corey Seager","TEX",123,533,30,68,74,1,0.099437148,0.18011257,0.233684211,0.29059829,0.277894736,0.35272045,0.511578947,0.364663478286787,0.39080930856557994,141.93696475653223,-5.232432544231415,20.343401841284805,6.94588303565979,4.642943140123882,"Corey Seager",13624,608369
"Jurickson Profar","SDP",158,668,24,94,85,10,0.113772455,0.151197604,0.179078015,0.301801801,0.280141843,0.380090497,0.459219858,0.365296050431334,0.3664177068267498,138.92728947203236,-0.7629592474550009,30.332137434188127,-10.619479179382324,4.342124775454071,"Jurickson Profar",10815,595777
"Corbin Carroll","ARI",158,684,22,121,74,35,0.106725146,0.190058479,0.196943973,0.255605381,0.23089983,0.321585903,0.427843803,0.3248603077011837,0.329689624927662,107.07697861964971,11.086577944457531,16.8750677085523,2.2997801303863525,4.3418203663781965,"Corbin Carroll",25878,682998
"Mookie Betts","LAD",116,516,19,75,75,16,0.118217054,0.110465116,0.202222223,0.293650793,0.288888888,0.372093023,0.491111111,0.3709689515573969,0.3629713448864675,139.57664027743849,0.6120042651891708,25.032243234556706,-0.6782671213150024,4.296694964745157,"Mookie Betts",13611,605141
"Marcus Semien","TEX",159,718,23,101,74,8,0.08913649,0.146239554,0.153846154,0.250478011,0.236923076,0.307799442,0.39076923,0.30588280763373027,0.31968205306172204,100.58944061998207,1.4903829023241997,1.9746334411112954,15.71020221710205,4.284310179199466,"Marcus Semien",12533,543760
"Rafael Devers","BOS",138,601,28,87,83,3,0.111480865,0.244592346,0.243809524,0.323033707,0.272380952,0.354409317,0.516190476,0.36402783280133794,0.3657234909188034,135.77750816682595,-0.8942356556653976,23.708883440391812,-2.5807816982269287,4.2394080094517115,"Rafael Devers",17350,646240
"Dansby Swanson","CHC",149,593,16,82,66,19,0.091062394,0.242833052,0.147940075,0.299734748,0.241573033,0.311973018,0.389513108,0.30656940884598216,0.32316527285818325,97.49036048581739,4.4247100949287415,2.6450899163455643,18.356961727142334,4.216355570823021,"Dansby Swanson",18314,621020
"Steven Kwan","CLE",122,540,14,83,44,12,0.098148148,0.094444444,0.133333334,0.303614457,0.291666666,0.368029739,0.425,0.3494486094185854,0.336855523205158,131.00928721131478,0.1757170334458351,19.33552494608666,3.291461944580078,4.185394017757066,"Steven Kwan",24610,680757
"Alex Bregman","HOU",145,634,26,79,75,3,0.06940063,0.135646687,0.192771085,0.264270613,0.259896729,0.315457413,0.452667814,0.3307042115295856,0.32537634161454215,117.20282126136706,-2.32157251983881,10.157851530299427,9.07112717628479,4.156236627614604,"Alex Bregman",17678,608324
"Jazz Chisholm Jr.","- - -",147,621,24,74,73,40,0.085346215,0.244766505,0.179715302,0.30927835,0.256227758,0.323671497,0.43594306,0.32729744707996195,0.3168021708435655,110.69860007689752,6.157852970063686,13.772830977390301,4.2822107672691345,4.0030753627059115,"Jazz Chisholm Jr.",20454,665862
"Julio Rodríguez","SEA",143,613,20,76,68,24,0.061990212,0.254486133,0.135802469,0.34351145,0.273368606,0.324632952,0.409171075,0.32055336402522194,0.3484102136948529,116.13648348758166,1.9585171416401863,13.276655008431439,4.657743453979492,3.9506480342833514,"Julio Rodriguez",23697,677594
"Freddie Freeman","LAD",147,638,22,81,89,9,0.122257053,0.156739811,0.193726938,0.306074766,0.282287822,0.377742946,0.47601476,0.36535710949207906,0.3680987024003533,135.79948589731632,-1.4705990627408028,25.841731057288726,-8.921481013298035,3.9501572648169248,"Freddie Freeman",5361,518692
"Riley Greene","DET",137,584,24,82,74,4,0.109589041,0.267123287,0.216796875,0.329341317,0.26171875,0.34819897,0.478515625,0.35539623961366457,0.3551679681108884,133.72925301154325,-0.1670323684811592,22.37147637468277,-3.6058192253112793,3.9372256268678005,"Riley Greene",25976,682985
"Jackson Chourio","MIL",148,573,21,80,79,22,0.068062827,0.211169284,0.189393939,0.319587628,0.274621212,0.326923076,0.464015151,0.33854969905715593,0.3271342551687197,117.99710439718523,3.9631444588303566,16.294719278040255,2.5781469345092773,3.9274088466165615,"Jackson Chourio",28806,694192
"Nico Hoerner","CHC",151,641,7,86,48,31,0.068642745,0.102964118,0.099656357,0.296875,0.273195876,0.335413416,0.372852233,0.3131190129555762,0.31806489708651214,101.89869300171439,4.9888085797429085,6.44418074163729,9.797253847122192,3.8904081388463077,"Nico Hoerner",21479,663538
"Trea Turner","PHI",121,539,21,88,62,19,0.050092764,0.181818181,0.174257426,0.330749354,0.295049504,0.337662337,0.46930693,0.3490665514084315,0.32174241744107646,122.75492973144709,2.6365917176008224,17.30306003082867,2.0466654300689697,3.8592739991692535,"Trea Turner",16252,607208
"Jose Altuve","HOU",153,682,20,94,65,22,0.068914956,0.174486803,0.144904458,0.337423312,0.294585987,0.350439882,0.439490445,0.344237520589548,0.31915624784264546,126.72242722685445,-0.7089373022317886,20.143935064171327,-5.394512057304382,3.857912079547575,"Jose Altuve",5417,514888
"Eugenio Suárez","ARI",158,640,30,90,101,2,0.0765625,0.275,0.213660246,0.308510638,0.255691768,0.31875,0.469352014,0.3372951490804553,0.3366846288525083,115.44647922839142,-1.114725163206458,10.706725202296505,5.168506145477295,3.849135035198385,"Eugenio Suarez",12552,553993
"Colton Cowser","BAL",153,561,24,77,69,9,0.092691622,0.306595365,0.204408818,0.316993464,0.242484969,0.320855614,0.446893787,0.3314574734042923,0.3331306198202007,118.6189228018079,1.124476321041584,13.075992944735587,5.499361038208008,3.838837854871302,"Colton Cowser",29591,681297
"Ezequiel Tovar","COL",157,695,26,83,78,6,0.033093525,0.287769784,0.2,0.344036697,0.26870229,0.294629898,0.46870229,0.3244099165637826,0.29165700797978816,94.34281409814777,0.06289985030889511,-4.638709478025523,16.835220336914062,3.659090674650288,"Ezequiel Tovar",24064,678662
"Masyn Winn","STL",150,637,15,85,57,11,0.064364207,0.171114599,0.148211244,0.303418803,0.267461669,0.313880126,0.415672913,0.315483457292614,0.2951017107282366,103.83917595298146,2.2214462757110596,5.145859461464935,8.499488115310669,3.608480309032025,"Masyn Winn",27479,691026
"Oneil Cruz","PIT",146,599,21,72,76,22,0.085141903,0.302170283,0.190388171,0.346938775,0.258780036,0.323873121,0.449168207,0.3310161504881952,0.3451237048132945,110.33786992820657,5.253063254058361,12.657962783080123,2.1324944496154785,3.5955509890686477,"Oneil Cruz",21711,665833
"Brenton Doyle","COL",149,603,23,82,72,30,0.07628524,0.253731343,0.186346863,0.315508021,0.260147601,0.317195325,0.446494464,0.3279812993811923,0.3308289139359086,96.74659953880382,5.354539439082146,3.008603652115349,11.350025177001953,3.564762589381628,"Brenton Doyle",25479,686668
