game_pk,batter,batter_name,at_bat_number,ondeck_woba
744795,677951,Bobby Witt Jr.,2,0.3350238372046628
744795,521692,Salvador Perez,4,
744795,671277,Luis García Jr.,7,
744795,672580,Maikel Garcia,11,
744795,677951,Bobby Witt Jr.,18,0.3350238372046628
744795,521692,Salvador Perez,20,
744795,696285,Jacob Young,22,0.3281335896412229
744795,671277,Luis García Jr.,26,
744795,672580,Maikel Garcia,29,
744795,677951,Bobby Witt Jr.,35,
744795,696285,Jacob Young,38,
744795,521692,Salvador Perez,42,0.270082251818617
744795,672580,Maikel Garcia,46,
744795,671277,Luis García Jr.,48,
744795,677951,Bobby Witt Jr.,52,
744795,696285,Jacob Young,56,
744795,521692,Salvador Perez,59,
744795,671277,Luis García Jr.,63,
744795,672580,Maikel Garcia,66,
744796,677951,Bobby Witt Jr.,2,0.3350238372046628
744796,521692,Salvador Perez,3,
744796,671277,Luis García Jr.,7,
744796,672580,Maikel Garcia,12,
744796,696285,Jacob Young,15,
744796,677951,Bobby Witt Jr.,20,0.3350238372046628
744796,521692,Salvador Perez,21,0.270082251818617
744796,672580,Maikel Garcia,25,
744796,671277,Luis García Jr.,29,
744796,696285,Jacob Young,36,
744796,677951,Bobby Witt Jr.,39,0.3350238372046628
744796,521692,Salvador Perez,40,
744796,671277,Luis García Jr.,44,
744796,677951,Bobby Witt Jr.,54,
744796,696285,Jacob Young,55,
744796,521692,Salvador Perez,58,
744796,671277,Luis García Jr.,63,
744796,677951,Bobby Witt Jr.,70,0.3350238372046628
744796,521692,Salvador Perez,71,
744796,696285,Jacob Young,75,
744797,656941,Kyle Schwarber,1,0.3490665514084315
744797,607208,Trea Turner,2,0.380217063407713
744797,547180,Bryce Harper,3,
744797,671277,Luis García Jr.,10,0.2896075388416648
744797,696285,Jacob Young,12,
744797,592206,Nick Castellanos,14,0.3352790382129467
744797,664761,Alec Bohm,15,0.2959171467705777
744797,681082,Bryson Stott,16,
744797,671277,Luis García Jr.,24,
744797,656941,Kyle Schwarber,26,0.3490665514084315
744797,607208,Trea Turner,27,0.380217063407713
744797,547180,Bryce Harper,28,0.32075803446806
744797,592206,Nick Castellanos,29,
744797,696285,Jacob Young,31,
744797,592206,Nick Castellanos,34,0.3352790382129467
744797,664761,Alec Bohm,35,0.2959171467705777
744797,681082,Bryson Stott,36,
744797,671277,Luis García Jr.,41,
744797,696285,Jacob Young,46,
744797,656941,Kyle Schwarber,48,0.3490665514084315
744797,607208,Trea Turner,49,
744797,664761,Alec Bohm,56,0.2959171467705777
744797,681082,Bryson Stott,57,
744797,671277,Luis García Jr.,59,0.2896075388416648
744797,696285,Jacob Young,61,
744797,656941,Kyle Schwarber,66,
744797,671277,Luis García Jr.,72,
744797,664761,Alec Bohm,77,
744798,656941,Kyle Schwarber,1,0.3490665514084315
744798,607208,Trea Turner,2,0.32075803446806
744798,592206,Nick Castellanos,3,0.2959171467705777
744798,681082,Bryson Stott,4,0.3352790382129467
744798,664761,Alec Bohm,5,
744798,671277,Luis García Jr.,7,
744798,696285,Jacob Young,17,
744798,656941,Kyle Schwarber,18,0.3490665514084315
744798,607208,Trea Turner,19,
744798,671277,Luis García Jr.,22,
744798,681082,Bryson Stott,24,0.3352790382129467
744798,664761,Alec Bohm,25,
744798,656941,Kyle Schwarber,34,0.3490665514084315
744798,607208,Trea Turner,35,0.2959171467705777
744798,681082,Bryson Stott,37,0.3352790382129467
744798,664761,Alec Bohm,38,
744798,696285,Jacob Young,40,0.3281335896412229
744798,671277,Luis García Jr.,42,
744798,696285,Jacob Young,53,
744798,656941,Kyle Schwarber,54,0.3490665514084315
744798,607208,Trea Turner,55,
744798,671277,Luis García Jr.,58,
744798,681082,Bryson Stott,60,0.3352790382129467
744798,664761,Alec Bohm,61,
744798,656941,Kyle Schwarber,70,
744798,696285,Jacob Young,73,0.3281335896412229
744798,671277,Luis García Jr.,75,
744799,656941,Kyle Schwarber,1,0.3490665514084315
744799,607208,Trea Turner,2,0.380217063407713
744799,547180,Bryce Harper,3,0.32075803446806
744799,592206,Nick Castellanos,4,
744799,671277,Luis García Jr.,5,
744799,664761,Alec Bohm,9,0.2959171467705777
744799,681082,Bryson Stott,11,
744799,696285,Jacob Young,16,
744799,656941,Kyle Schwarber,18,0.3490665514084315
744799,607208,Trea Turner,19,
744799,671277,Luis García Jr.,21,
744799,547180,Bryce Harper,23,0.32075803446806
744799,592206,Nick Castellanos,24,0.3352790382129467
744799,664761,Alec Bohm,25,
744799,681082,Bryson Stott,30,
744799,696285,Jacob Young,35,
744799,656941,Kyle Schwarber,36,0.3490665514084315
744799,607208,Trea Turner,37,0.380217063407713
744799,547180,Bryce Harper,38,
744799,671277,Luis García Jr.,40,
744799,592206,Nick Castellanos,44,0.3352790382129467
744799,664761,Alec Bohm,45,0.2959171467705777
744799,681082,Bryson Stott,47,
744799,696285,Jacob Young,51,0.3281335896412229
744799,671277,Luis García Jr.,53,
744799,656941,Kyle Schwarber,56,0.3490665514084315
744799,607208,Trea Turner,57,0.380217063407713
744799,547180,Bryce Harper,58,
744799,696285,Jacob Young,65,
744799,592206,Nick Castellanos,66,0.3352790382129467
744799,664761,Alec Bohm,67,0.2959171467705777
744799,681082,Bryson Stott,69,
744800,669394,Jake Burger,3,
744800,671277,Luis García Jr.,8,
744800,696285,Jacob Young,14,
744800,669394,Jake Burger,22,
744800,671277,Luis García Jr.,31,
744800,696285,Jacob Young,38,
744800,669394,Jake Burger,41,
744800,671277,Luis García Jr.,51,0.2896075388416648
744800,696285,Jacob Young,54,
744800,669394,Jake Burger,58,
744800,660821,Jesús Sánchez,66,
744801,669394,Jake Burger,3,0.3169589393147815
744801,660821,Jesús Sánchez,4,
