Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID,batter_id,avg_protection_score,games_x,total_pa,avg_batting_order,batter,avg_ondeck_protection,avg_preceding_protection,games_y,total_pitches,Team_Abbr,park_factor,wOBA_park_adj,heart_pct,avg_pitcher_fip_minus,avg_pitcher_fip,unique_pitchers_faced,ondeck_adj,preceding_adj,protection_adj,park_adj,pitcher_adj,pitch_quality_adj,wOBA_true_talent,total_context_adj
Aaron Judge,NYY,158,704,58,122,144,10,0.188920454,0.242897727,0.379248659,0.367469879,0.322003577,0.458036984,0.701252236,0.4757340011100992,0.4809395285213695,219.7835722854021,-0.495271660387516,95.99322220590903,-9.57552433013916,11.33495928042784,Aaron Judge,15640,592450,592450,0.2977549951572584,158,704,4.96875,592450,0.30958157235436295,0.41423197575307397,91,1672,NYY,98.9298939704895,0.4808799261950178,0.12598425196850394,99.88771930967722,3.8088691644793733,194,-0.002336525311529164,0.008214018969180049,0.005877493657650884,-0.005145925084918568,0.00011228069032277688,0.003062526419528105,0.45792437611142217,0.0036818143019376444
Bobby Witt Jr.,KCR,161,709,32,125,109,31,0.080394922,0.149506346,0.256289308,0.35375494,0.331761006,0.389280677,0.588050314,0.4097383537462779,0.4069405691964285,169.13393177564416,4.4858090952038765,60.57034097208533,17.496928215026855,10.489661984608478,Bobby Witt Jr.,25764,677951,677951,0.3265645505677594,163,720,4.925,677951,0.3255253484222196,0.2755996907297216,93,1521,KCR,103.06445360183716,0.39755545139665316,0.11243386243386243,100.11820609444554,3.81765797268714,181,-0.000742147704743501,-0.005649209533155186,-0.006391357237898687,0.012182902349624714,-0.00011820609444554009,0.0010299679893318785,0.3955961790797738,0.006939719195503445
Shohei Ohtani,LAD,159,731,54,134,130,59,0.110807113,0.221614227,0.336477988,0.336470588,0.309748427,0.39010989,0.646226415,0.4305492917641291,0.4438979805013927,179.6782932394558,9.73534832149744,79.38495752480254,-17.17592430114746,8.94855915206399,Shohei Ohtani,19755,660271,660271,0.3585750550551334,157,720,4.786111111111111,660271,0.35766177977011426,0.36073040189964517,87,1592,LAD,99.1439938545227,0.43426664089797357,0.09853782581055308,99.85124333057158,3.8074782804646023,187,0.002471495430045967,0.0028638615838371684,0.005335357013883135,-0.003717349133844472,0.00014875666942842258,-0.0010544375041645238,0.4201984382359918,0.0004148137064457166
Juan Soto,NYY,157,713,41,128,109,7,0.180925666,0.16690042,0.28125,0.297619047,0.288194444,0.419354838,0.569444444,0.4205848819428188,0.4636422871534512,180.99055562627643,-3.8687386885285378,62.20509648624051,-5.565011024475098,8.290403914187088,Juan Soto,20123,665742,665742,0.4714113656027071,157,714,4.973389355742297,665742,0.46754468554660206,0.2932781191228563,89,1711,NYY,98.9298939704895,0.4251342693931099,0.08206330597889801,99.78923312744958,3.8051137380344935,187,0.013459786007694747,-0.0038813666938417204,0.009578419313853026,-0.004549387450291098,0.0002107668725504226,-0.003525615478912784,0.41044041717172486,0.0012926495120987214
Gunnar Henderson,BAL,159,719,37,118,92,21,0.108484005,0.221140472,0.247619048,0.319634703,0.28095238,0.364394993,0.528571428,0.3814647619438702,0.3739156656331949,153.79507079266284,3.9880658090114594,48.24455726015132,4.381449222564697,7.896378175117105,Gunnar Henderson,26289,683002,683002,0.3166505014845024,161,728,4.854395604395604,683002,0.31320185236195963,0.3303936287666681,90,1635,BAL,98.61453771591188,0.3868240634487295,0.10264290104486785,100.52429847525869,3.8331428867276127,181,-0.0019744973107694965,-0.00016981572946053736,-0.002144313040230034,-0.005359301504859304,-0.0005242984752586893,-0.0004386762190173074,0.3830718867935231,-0.007417992288847956
Francisco Lindor,NYM,152,689,33,107,91,29,0.081277213,0.184325108,0.226537217,0.295010845,0.273462783,0.343976777,0.5,0.3628858149657228,0.381032855011696,136.87564878805517,4.003861710429192,34.386128730566824,17.448684215545654,7.732129732801081,Francisco Lindor,12916,596019,596019,0.3290411165240642,155,704,4.720170454545455,596019,0.3339912873738296,0.3296217712153577,89,1594,NYM,96.34352326393127,0.3766582357296649,0.11048336472065286,99.92703995630835,3.810368519950854,189,0.00010444619041750092,-0.00024700148459158024,-0.00014255529417407932,-0.013772420763942084,7.296004369165132e-05,0.0007373933323504431,0.37160012994573893,-0.013250542769457372
Jarren Duran,BOS,160,735,21,111,75,34,0.073469387,0.217687074,0.207153502,0.344827586,0.284649776,0.341961852,0.491803278,0.3568673902286514,0.3395408880515176,130.74070663303564,8.320960067212582,34.17371282348279,7.720481157302856,6.842792210282063,Jarren Duran,24617,680776,680776,0.3625423535076381,160,739,4.7875507442489855,680776,0.33784723188961385,0.3061069665804304,91,1664,BOS,104.24087047576904,0.34234882018910784,0.10108303249097472,99.86501368567619,3.8080033648423863,208,0.0004900406419959258,-0.0025984819480843083,-0.0021084413060883825,0.014518570039543544,0.00013498631432381104,-0.0006726565021012771,0.34381582186453596,0.011602485917030073
Elly De La Cruz,CIN,160,696,25,105,76,67,0.099137931,0.31321839,0.21197411,0.359042553,0.258899676,0.338616714,0.470873786,0.3486482402837345,0.3298914370329484,119.26510609565474,7.458791613578796,23.492793452431314,16.667002201080322,6.550527704390292,Elly De La Cruz,26668,682829,682829,0.3245781943114274,160,697,4.837876614060258,682829,0.32633226053668335,0.3314135485899399,91,1565,CIN,104.54981327056883,0.33347571782022517,0.10397946084724005,100.12739244342889,3.8180082620081763,176,-0.0006614564932971245,-6.782374713336092e-05,-0.0007292802404304854,0.015172522463509308,-0.00012739244342888868,-0.00023819224866147777,0.33396162606337615,0.014332442417846232
José Ramírez,CLE,158,682,39,114,118,41,0.079178885,0.120234604,0.258064516,0.265346534,0.279032258,0.334801762,0.537096774,0.3642762730118049,0.3333672949729657,141.43936858837043,6.288987055420876,38.62623908652469,1.243952989578247,6.452328074502275,Jose Ramirez,13510,608070,608070,0.3308023780684622,158,682,5.149560117302053,608070,0.3315103877891409,0.2989712124141949,86,1525,CLE,98.87371063232422,0.3684258137801841,0.10610079575596817,100.08750530331352,3.816487305287023,184,-0.00014364376805137136,-0.00331205736470786,-0.0034557011327592314,-0.004149540768379201,-8.750530331352025e-05,8.000798764774067e-05,0.3676200094438606,-0.007437728610177171
Ketel Marte,ARI,136,583,36,93,95,7,0.111492281,0.181818181,0.267857143,0.299191374,0.291666666,0.372212692,0.559523809,0.3909995480337077,0.3941492200731397,151.5932209536712,0.9326784834265708,36.90119123990885,4.792233824729919,6.318788996285611,Ketel Marte,13613,606466,606466,0.3322416356825619,136,584,4.821917808219178,606466,0.329597709293913,0.3279861209393246,89,1424,ARI,100.64197778701782,0.38850542947511923,0.10968660968660969,100.00608096669956,3.813382472709901,183,-0.00033491161757415736,-0.00041056651219488764,-0.0007454781297690451,0.002494118558588443,-6.080966699556711e-06,0.000617880077243968,0.38284165988892704,0.0023726014727629223
